title,link,summary,date
"Carter, Greaves lead the way as Tridents win big",https://www.espncricinfo.com/series/caribbean-premier-league-2019-1185802/st-lucia-zouks-vs-barbados-tridents-17th-match-1185853/match-report,Greaves made a fifty on debut and Carter followed his cameo up with world-class fielding as St Lucia Zouks went down by 71 runs,21-Sep-2019
Billy Godleman's Derbyshire may well relish the chance to tweak a few noses on Finals Day,https://www.espncricinfo.com/story/billy-godleman-s-derbyshire-may-well-relish-the-chance-to-tweak-a-few-noses-on-finals-day-1201398,"Derbyshire have never been to Finals Day, and yet you sense this is simply part of the motivation",20-Sep-2019
'Disappointed is an understatement' - Liam Plunkett hits out at white-ball contract snub,https://www.espncricinfo.com/story/disappointed-is-an-understatement-liam-plunkett-hits-out-at-white-ball-contract-snub-1201399,"Door not closed, says Ashley Giles after announcement, with Alex Hales given similar message after missing out",20-Sep-2019
Essex threaten to get busy at the business end of the season,https://www.espncricinfo.com/story/essex-threaten-to-get-busy-at-the-business-end-of-the-season-1201397,The next week or so holds the promise of being a momentous one for the club with Championship and T20 titles on the line,20-Sep-2019
Moeen Ali 'takes break' from Test cricket as he misses out on full ECB contract,https://www.espncricinfo.com/story/moeen-ali-takes-break-from-test-cricket-as-he-misses-out-on-full-ecb-contract-1201395,Ashley Giles says he 'encouraged' spinner not to turn his back on playing Tests in future,20-Sep-2019
Waqar looks to reignite chemistry with Misbah,https://www.espncricinfo.com/story/waqar-younis-looks-to-reignite-chemistry-with-misbah-ul-haq-1201388,"'You come directly under a head coach as it's his domain and you work according to his mindset. We will try to help Misbah as much as possible and move forward,' Waqar says",20-Sep-2019
Hamilton Masakadza bids farewell with match-winning 71,https://www.espncricinfo.com/series/bangladesh-t20-series-2019-1197136/afghanistan-vs-zimbabwe-5th-match-1197144/match-report,The Zimbabwe captain's 42-ball knock powered his side to their first-ever T20I victory over Afghanistan,20-Sep-2019
Not worried about exclusion from T20Is - Kuldeep Yadav,https://www.espncricinfo.com/story/not-worried-about-exclusion-from-t20is-kuldeep-yadav-1201340,"'Maybe the selectors felt I needed a break. Maybe the team thinks some changes are required. I respect that, and I have no complaints,' he says",20-Sep-2019
Der v Ess: Second semi-final match-ups,https://www.espncricinfo.com/series/vitality-blast-2019-1167126/derbyshire-vs-essex-2nd-semi-final-1167258/match-preview,Derbyshire and Essex have never played one another in T20 cricket ... here's where the game will be won and lost,20-Sep-2019
Priyank Panchal ton the last-day highlight in drawn game,https://www.espncricinfo.com/series/sa-a-tour-of-india-2019-1197416/india-a-vs-south-africa-a-2nd-unofficial-test-1197426/match-report-4,India A take two-match series 1-0 after winning the first game by seven wickets,20-Sep-2019
Not v Wor: First semi-final match-ups,https://www.espncricinfo.com/series/vitality-blast-2019-1167126/nottinghamshire-vs-worcestershire-1st-semi-final-1167257/match-preview,"The battles to watch for as Nottinghamshire, favourites with bookmakers, face Worcestershire, whom they have struggled against",20-Sep-2019
Jofra Archer caps stellar summer with ECB central contract,https://www.espncricinfo.com/story/jofra-archer-caps-stellar-summer-with-ecb-central-contract-1201336,"Moeen Ali, Adil Rashid awarded only white-ball contracts for 2019-20 season",20-Sep-2019
"'Young players win you games, but experience wins you titles' - Harry Gurney",https://www.espncricinfo.com/story/young-players-win-you-games-but-experience-wins-you-titles-harry-gurney-1201313,Seamer hopes blend of young stars and T20 know-how can help Nottinghamshire to second Blast win in three years,20-Sep-2019
"Allen, Hafeez consign Tallawahs to another defeat as Phillips fifty goes in vain",https://www.espncricinfo.com/series/caribbean-premier-league-2019-1185802/jamaica-tallawahs-vs-st-kitts-and-nevis-patriots-16th-match-1185852/match-report,"Tallawahs' home stretch ended with another defeat, their sixth in seven games",20-Sep-2019
"There's no question, Virat Kohli is the RCB captain - Simon Katich",https://www.espncricinfo.com/story/there-s-no-question-virat-kohli-is-the-rcb-captain-simon-katich-1201307,New head coach along with the team director Mike Hesson outline their vision for IPL 2020 and beyond,19-Sep-2019
Dom Sibley stars again as Warwickshire chase down Notts,https://www.espncricinfo.com/series/county-div-one-2019-1166898/nottinghamshire-vs-warwickshire-1166963/match-report-4,Sibley follows unbeaten first-innings double-century with 109 as Warwickshire win by eight wickets,19-Sep-2019
Lancashire celebrate winning Division Two trophy in style with 104-run win over Middlesex,https://www.espncricinfo.com/series/county-div-2-2019-1166901/lancashire-vs-middlesex-1167031/match-report-4,Tom Bailey's second five-for this match keeps Lancashire's unbeaten season intact,19-Sep-2019
Glamorgan grab maximum points but will need more of the same next week,https://www.espncricinfo.com/series/county-div-2-2019-1166901/glamorgan-vs-leicestershire-1167030/match-report-4,Hosts' 291-run victory barely keeps faint promotion hopes alive,19-Sep-2019
Ed Joyce named permanent head coach of Ireland women,https://www.espncricinfo.com/story/ed-joyce-named-permanent-head-coach-of-ireland-women-1201293,Former Ireland and England batsman signs two-year contract to oversee women's set-up,19-Sep-2019
Zimbabwe aim to make it a memorable farewell for Hamilton Masakadza,https://www.espncricinfo.com/series/bangladesh-t20-series-2019-1197136/afghanistan-vs-zimbabwe-5th-match-1197144/match-preview,"A maiden T20I win over Afghanistan could boost morale for struggling side, while Afghanistan could look to test bench strength in dead rubber",19-Sep-2019
Northants pop the Champagne after convincing win over Durham,https://www.espncricinfo.com/series/county-div-2-2019-1166901/northamptonshire-vs-durham-1167032/match-report-4,Brett Hutton five-for seals victory early on final day as hosts celebrate certain promotion,19-Sep-2019
Darren Stevens seals a match for the ages as Kent condemn Yorkshire to mammoth defeat,https://www.espncricinfo.com/series/county-div-one-2019-1166898/yorkshire-vs-kent-1166964/match-report-4,"At 43, Stevens is the second-oldest player to score 200 and take five wickets in an innings in a first-class match after W.G. Grace",19-Sep-2019
From local icons to 'non-playing players': Details of The Hundred draft revealed,https://www.espncricinfo.com/story/from-local-icons-to-non-playing-players-details-of-the-hundred-draft-revealed-1201281,"The registration process for The Hundred's player draft has opened, ahead of the televised event on October 20",19-Sep-2019
Akila Dananjaya banned from bowling for one year,https://www.espncricinfo.com/story/akila-dananjaya-banned-from-bowling-for-one-year-1201288,The Sri Lanka spinner has twice failed a biomechanics assessment inside a two-year period,19-Sep-2019
Sri Lanka tour of Pakistan to go ahead as planned,https://www.espncricinfo.com/story/sri-lanka-tour-of-pakistan-to-go-ahead-as-planned-1201282,SLC has confirmed that the Pakistan government had 'reaffirmed' its desire to provide the Sri Lanka team with the same level of security afforded to visiting heads of state,19-Sep-2019
Aiden Markram tunes up for Test series with 161 as South Africa A fight back,https://www.espncricinfo.com/series/sa-a-tour-of-india-2019-1197416/india-a-vs-south-africa-a-2nd-unofficial-test-1197426/match-report-3,His century stand with Wiaan Mulder lifted South Africa A from 142 for 5 to 400; Kuldeep Yadav picked up four wickets for India A,19-Sep-2019
Australia women set to further fine-tune their T20I batting order,https://www.espncricinfo.com/story/australia-women-set-to-further-fine-tune-their-t20i-batting-order-1201278,Australia continued their fine form in the West Indies but coach Matthew Mott says they've still got some tinkering to do ahead of the T20 World Cup,19-Sep-2019
CA chief Kevin Roberts cautious but hopeful over future Pakistan tours,https://www.espncricinfo.com/story/ca-chief-kevin-roberts-cautious-but-hopeful-over-future-pakistan-tours-1201275,Roberts is the first CA chief executive to visit Pakistan in more than ten years with Australia slated to tour in 2022,19-Sep-2019
Shoaib Malik has perfect evening as Amazon Warriors remain unbeaten,https://www.espncricinfo.com/series/caribbean-premier-league-2019-1185802/jamaica-tallawahs-vs-guyana-amazon-warriors-15th-match-1185851/match-report,Malik made an unbeaten 37-ball 67 and made bold captaincy choices as Jamaica Tallawahs were effectively suppressed in their chase of 219,19-Sep-2019
Zahir Khan joins Mujeeb at Brisbane Heat,https://www.espncricinfo.com/story/zahir-khan-joins-mujeeb-at-brisbane-heat-1201252,Mujeeb had the best economy rate in last year's BBL where the Heat narrowly missed out on the knockouts,19-Sep-2019
Mickey Arthur named Central Stags T20 coach,https://www.espncricinfo.com/story/mickey-arthur-named-central-stags-t20-coach-1201250,New Zealand's domestic T20 champions have brought in a high-profile name to marshal their title defence,19-Sep-2019
Labuschagne set for swift return to action,https://www.espncricinfo.com/story/labuschagne-set-for-swift-return-to-action-1201244,The majority of Australia's Ashes players are rested for the start of the domestic season,19-Sep-2019
Six players to watch in the Marsh One-Day Cup,https://www.espncricinfo.com/story/six-players-to-watch-in-the-marsh-one-day-cup-1201243,The Australian domestic season starts at the weekend with the new-look one-day competition which is a chance to catch to the selectors' eye,19-Sep-2019
Jonassen and Wareham share seven wickets in Australia's canter,https://www.espncricinfo.com/series/aus-w-in-west-indies-2019-1198466/west-indies-women-vs-australia-women-3rd-t20i-1198477/match-report,Australia completed an unbeaten tour of West Indies in domineering style as they sped to a nine-wicket victory with more than 12 overs to spare,19-Sep-2019
Dom Sibley carries his bat as Warwickshire heap on the pressure,https://www.espncricinfo.com/series/county-div-one-2019-1166898/nottinghamshire-vs-warwickshire-1166963/match-report-3,"Responding to Nottinghamshire's 498, the Bears reply with 488 then turn the screws on the hosts in the final session",18-Sep-2019
"Glamorgan in command, despite top-flight bid taking a knock",https://www.espncricinfo.com/series/county-div-2-2019-1166901/glamorgan-vs-leicestershire-1167030/match-report-3,"Leicestershire will resume on 32 for 2, needing a further 392 to win",18-Sep-2019
Simon Harmer sticks to the script as Essex's match-winner,https://www.espncricinfo.com/series/county-div-one-2019-1166898/essex-vs-surrey-1166961/match-report-3,Off-spinner's 7-58 routs Surrey as Essex can't help but eye Championship glory,18-Sep-2019
Northamptonshire in control against Durham and on verge of promotion,https://www.espncricinfo.com/series/county-div-2-2019-1166901/northamptonshire-vs-durham-1167032/match-report-3,"If Durham lose and Glamorgan fail to convert their advantage against Leicestershire, Northants will go up with a game to spare",18-Sep-2019
Five late wickets raises Middlesex hopes of inflicting Lancashire's first defeat of the season,https://www.espncricinfo.com/series/county-div-2-2019-1166901/lancashire-vs-middlesex-1167031/match-report-3,Lancashire lead by 211 runs with two wickets in hand going into final day,18-Sep-2019
Sam Billings backs up with the bat as Kent close in on big win,https://www.espncricinfo.com/series/county-div-one-2019-1166898/yorkshire-vs-kent-1166964/match-report-3,"Darren Stevens can't stay out of the action, claiming four second-innings wickets to deepen Yorkshire's woes",18-Sep-2019
Derbyshire ruin Sussex's promotion hopes with resounding victory,https://www.espncricinfo.com/series/county-div-2-2019-1166901/derbyshire-vs-sussex-1167029/match-report-3,"Chasing 345, Sussex folded for 163 with Fynn Hudson-Prentice, Anuj Dal and Matt Critchley each taking three wickets",18-Sep-2019
Kyle Abbott claims 17 wickets to put another dent in Somerset's title ambitions,https://www.espncricinfo.com/series/county-div-one-2019-1166898/hampshire-vs-somerset-1166962/match-report-3,Abbott follows first-innings 9-40 with 8-46 to deliver Hampshire a 136-run win over Somerset,18-Sep-2019
Aiden Markram finds form after Wriddhiman Saha's fifty,https://www.espncricinfo.com/series/sa-a-tour-of-india-2019-1197416/india-a-vs-south-africa-a-2nd-unofficial-test-1197426/match-report-2,Kuldeep Yadav was among the wickets as South Africa A slumped against spin in Mysuru,18-Sep-2019
Gloucestershire so close to ending 14-year exile from top flight after beating Worcestershire,https://www.espncricinfo.com/series/county-div-2-2019-1166901/worcestershire-vs-gloucestershire-1167033/match-report-3,"Should they beat Northamptonshire at Bristol next week, Gloucestershire will secure promotion",18-Sep-2019
Deepak Chahar and Virat Kohli lead India to breezy win,https://www.espncricinfo.com/series/south-africa-in-india-2019-20-1186975/india-vs-south-africa-2nd-t20i-1187005/match-report,"Having restricted South Africa to a below-par 149, India romped home with an over to spare",18-Sep-2019
"Mahmudullah, bowlers take Bangladesh into tri-series final",https://www.espncricinfo.com/series/bangladesh-t20-series-2019-1197136/bangladesh-vs-zimbabwe-4th-match-1197143/match-report,Richmond Mutumbami's fight in vain as Zimbabwe collapse in a heap,18-Sep-2019
Australia mentor Ben Sawyer to be Birmingham Women's Team Head Coach for The Hundred,https://www.espncricinfo.com/story/australia-mentor-ben-sawyer-to-be-birmingham-women-s-team-head-coach-for-the-hundred-1201166,"Sawyer, who has led Sydney Sixers to all four WBBL finals and back-to-back titles, is an assistant coach to the Australian women",18-Sep-2019
"Paine, Siddle played Oval Test with injuries",https://www.espncricinfo.com/story/tim-paine-peter-siddle-played-oval-test-with-injuries-1201158,"Australia captain says his thumb is ""broken but not displaced"", praises Siddle for pushing through and bowling despite hip injury",18-Sep-2019
"Trevor Bayliss calls for fewer counties, better pitches to bridge 'huge gap' to international level",https://www.espncricinfo.com/story/trevor-bayliss-calls-for-fewer-counties-better-pitches-to-bridge-huge-gap-to-international-level-1201103,Out-going England coach questions 'whether the county game is producing the players we need',18-Sep-2019
Jeff Vaughan promoted to coach Tasmania's Shield team,https://www.espncricinfo.com/story/jeff-vaughan-promoted-to-coach-tasmania-s-shield-team-1201113,Tasmania will split the coaching for the new season with head coach Adam Griffith taking the opportunity to look at the overall set-up of the state,18-Sep-2019
Super Brathwaite vaults Patriots to victory in tiebreaker,https://www.espncricinfo.com/series/caribbean-premier-league-2019-1185802/st-kitts-and-nevis-patriots-vs-trinbago-knight-riders-14th-match-1185850/match-report,The Patriots captain made a 30-ball 64 and starred in both halves of the Super Over as Knight Riders fell short in their defence of 216,18-Sep-2019
